# run: /home/tulay/桌面/t800-urkl-tracker/lens110RL/lens110/legged_lab_lbot/logs/rsl_rl/lens110_deepmimic/2026-09-01_11-59-20
# checkpoints: 168
# saved size each: 5992072 bytes
iteration	file	size_bytes	reward	ep_seconds	finish_percent	rootdev_percent	badorient_percent	basecontact_percent
0	model_0.pt	5992072	0.32	0.18	0.0	0.0	0.0	0.0
100	model_100.pt	5992072	5.43	3.58	0.0	0.0	79.4	14.2
200	model_200.pt	5992072	6.38	4.49	0.0	5.6	92.2	2.2
300	model_300.pt	5992072	7.24	5.17	0.0	24.5	66.1	3.1
400	model_400.pt	5992072	8.62	6.89	0.0	68.1	25.6	3.8
500	model_500.pt	5992072	9.66	9.03	0.0	89.4	0.9	8.6
600	model_600.pt	5992072	8.21	7.33	0.0	89.6	0.6	9.2
700	model_700.pt	5992072	8.21	6.66	0.0	81.0	9.6	9.0
800	model_800.pt	5992072	8.18	6.81	0.0	87.0	6.8	5.7
900	model_900.pt	5992072	9.18	8.73	2.0	86.6	4.2	6.5
1000	model_1000.pt	5992072	9.53	9.58	0.2	65.7	2.3	31.3
1100	model_1100.pt	5992072	7.74	7.02	1.2	73.3	4.3	18.3
1200	model_1200.pt	5992072	8.31	7.88	0.1	53.4	18.4	13.2
1300	model_1300.pt	5992072	10.99	11.69	4.1	71.6	8.7	12.1
1400	model_1400.pt	5992072	16.28	18.55	31.8	63.2	0.0	4.4
1500	model_1500.pt	5992072	12.06	13.22	25.8	68.3	1.5	3.7
1600	model_1600.pt	5992072	10.38	11.07	7.6	63.5	2.1	23.4
1700	model_1700.pt	5992072	9.62	9.83	2.1	59.0	3.6	31.0
1800	model_1800.pt	5992072	8.51	7.77	0.1	63.3	22.6	11.6
1900	model_1900.pt	5992072	10.52	9.59	0.0	76.2	20.4	2.0
2000	model_2000.pt	5992072	17.70	18.52	15.0	70.3	8.8	5.9
2100	model_2100.pt	5992072	14.85	15.62	30.6	59.5	3.2	6.3
2200	model_2200.pt	5992072	14.44	15.70	30.9	53.8	2.9	11.6
2300	model_2300.pt	5992072	17.87	19.70	23.9	52.7	2.9	19.3
2400	model_2400.pt	5992072	15.79	15.59	30.3	51.5	2.3	15.7
2500	model_2500.pt	5992072	17.57	15.69	25.3	51.4	10.2	12.1
2600	model_2600.pt	5992072	23.06	19.40	28.1	56.1	3.1	12.5
2700	model_2700.pt	5992072	25.92	20.74	38.9	49.6	0.2	11.3
2800	model_2800.pt	5992072	27.28	20.50	37.9	42.8	0.2	18.6
2900	model_2900.pt	5992072	33.96	24.71	47.0	46.5	0.0	6.5
3000	model_3000.pt	5992072	41.02	28.86	54.0	38.1	0.0	7.9
3100	model_3100.pt	5992072	39.82	27.60	59.6	33.4	0.0	7.0
3200	model_3200.pt	5992072	38.31	26.57	57.0	36.7	0.0	6.3
3300	model_3300.pt	5992072	38.93	26.54	59.1	38.2	0.0	2.7
3400	model_3400.pt	5992072	35.09	23.74	58.7	36.1	0.1	5.2
3500	model_3500.pt	5992072	38.15	25.92	58.0	39.8	0.0	2.3
3600	model_3600.pt	5992072	36.63	24.57	56.2	37.4	0.1	6.3
3700	model_3700.pt	5992072	38.98	26.17	58.3	36.6	0.1	5.0
3800	model_3800.pt	5992072	39.19	26.68	58.9	37.4	0.1	3.6
3900	model_3900.pt	5992072	38.87	26.57	59.9	34.4	0.0	5.8
4000	model_4000.pt	5992072	36.81	25.32	55.5	36.5	0.1	7.9
4100	model_4100.pt	5992072	35.40	24.21	55.8	36.5	0.0	7.8
4200	model_4200.pt	5992072	37.93	25.88	56.2	38.3	0.0	5.5
4300	model_4300.pt	5992072	34.71	23.78	56.8	38.2	0.0	4.9
4400	model_4400.pt	5992072	33.69	22.89	54.7	42.4	0.0	2.9
4500	model_4500.pt	5992072	36.94	25.40	50.1	41.1	0.2	8.6
4600	model_4600.pt	5992072	35.17	24.29	51.8	37.5	0.4	10.3
4700	model_4700.pt	5992072	35.35	24.29	48.3	37.2	0.4	14.2
